Date,City,Program,Campaign,Donor_Type,Donation_Amount_INR,Beneficiaries,Volunteers,Expenses_INR,Event_Type,Gender_Focus,Age_Group,New_Donors,Returning_Donors,Meals_Distributed,Clothes_Distributed,Sanitary_Kits_Distributed,Animals_Fed,Satisfaction_Score
1/1/2025,Delhi,Animal Welfare,Animal Care,Individual,40735,55,34,23386,Awareness Session,All,Teenagers,4,32,0,0,0,72,4.2
1/1/2025,Indore,Women Hygiene,Pink Care,Individual,33502,227,18,26639,Workshop,All,Teenagers,19,16,0,0,227,0,4.9
1/1/2025,Lucknow,Women Hygiene,Pink Care,Crowdfunding,63539,270,10,42338,Camp,Youth,Teenagers,10,30,0,0,270,0,4.9
1/1/2025,Indore,Clothes Distribution,Festival Donation,Corporate,67556,304,39,31397,Camp,Youth,Children,20,23,0,608,0,0,4.1
1/2/2025,Delhi,Education,Digital Learning,NGO Partner,43284,140,16,30931,Awareness Session,Women,Children,23,9,0,0,0,0,4.5
1/2/2025,Ahmedabad,Education,Back to School,NGO Partner,61316,231,12,30792,Workshop,Youth,Mixed,10,35,0,0,0,0,4.5
1/2/2025,Gwalior,Health Camp,Blood Donation,Corporate,49010,153,10,29145,Training,Women,Teenagers,11,20,0,0,0,0,4.3
1/2/2025,Bhopal,Food Distribution,Zero Hunger,Crowdfunding,82657,271,13,53957,Workshop,All,Teenagers,20,11,271,0,0,0,4.8
1/2/2025,Indore,Education,Books for All,NGO Partner,55483,273,44,39737,Camp,All,Teenagers,8,13,0,0,0,0,4.1
1/3/2025,Delhi,Education,Back to School,Individual,61908,149,22,35995,Training,All,Mixed,4,28,0,0,0,0,3.9
1/3/2025,Indore,Food Distribution,Zero Hunger,Individual,87237,251,26,60661,Camp,All,Mixed,9,9,251,0,0,0,3.8
1/3/2025,Pune,Women Hygiene,Health Awareness,Crowdfunding,36196,135,11,28344,Distribution Drive,All,Children,10,25,0,0,135,0,4.1
1/3/2025,Bhopal,Women Hygiene,Health Awareness,NGO Partner,29180,172,30,16211,Fundraiser,Women,Adults,11,12,0,0,172,0,4.8
1/4/2025,Mumbai,Health Camp,Blood Donation,Crowdfunding,64715,339,27,47691,Camp,Women,Adults,6,22,0,0,0,0,3.7
1/4/2025,Indore,Clothes Distribution,Festival Donation,Crowdfunding,30538,243,23,18326,Camp,Children,Adults,19,19,0,243,0,0,3.8
1/4/2025,Indore,Education,Back to School,Individual,69550,252,32,38003,Distribution Drive,Children,Adults,4,7,0,0,0,0,4.7
1/4/2025,Lucknow,Food Distribution,Community Kitchen,Corporate,41503,282,15,32316,Camp,Youth,Mixed,12,35,846,0,0,0,4.1
1/4/2025,Indore,Clothes Distribution,Winter Warmth,NGO Partner,43381,137,27,29498,Camp,Children,Mixed,7,5,0,274,0,0,3.5
1/5/2025,Gwalior,Clothes Distribution,Hope Closet,NGO Partner,61399,192,11,30807,Camp,Youth,Children,13,23,0,384,0,0,4.3
1/5/2025,Noida,Food Distribution,Zero Hunger,Crowdfunding,93102,199,31,67036,Distribution Drive,Children,Children,9,22,199,0,0,0,4.9
1/5/2025,Lucknow,Animal Welfare,Street Animal Drive,Corporate,70735,193,31,33277,Distribution Drive,Women,Adults,21,15,0,0,0,78,3.9
1/5/2025,Lucknow,Health Camp,Health Checkup,Individual,74926,157,40,49735,Workshop,Youth,Children,24,26,0,0,0,0,4.3
1/6/2025,Delhi,Food Distribution,Community Kitchen,NGO Partner,92351,99,31,44022,Camp,Women,Children,21,31,198,0,0,0,4.2
1/6/2025,Gwalior,Education,Books for All,Individual,77429,108,11,46930,Fundraiser,Women,Adults,18,8,0,0,0,0,4.6
1/6/2025,Gwalior,Health Camp,Health Checkup,Individual,29298,190,39,22857,Awareness Session,Children,Children,20,24,0,0,0,0,5
1/6/2025,Ahmedabad,Health Camp,Health Checkup,Individual,54642,219,37,36081,Awareness Session,Youth,Teenagers,24,13,0,0,0,0,3.7
